AAR,BYDEL,DISTRIKTSNAVN,HUSTYP,FAMILIEGRUPPE,FAMILIETYPE,BRUTTOINDKOM,INDKOMSTKATEGORI,HUSTANDE
2014,3,3. Nørrebro,8,Hustande med 2 eller flere familier,,3,100.000-149.999 kr.,217
2014,3,3. Nørrebro,8,Hustande med 2 eller flere familier,,4,150.000-199.999 kr.,431
2014,3,3. Nørrebro,8,Hustande med 2 eller flere familier,,5,200.000-299.999 kr.,1226
2014,3,3. Nørrebro,8,Hustande med 2 eller flere familier,,6,300.000-399.999 kr.,1262
2014,3,3. Nørrebro,8,Hustande med 2 eller flere familier,,7,400.000-499.999 kr.,1023
2014,3,3. Nørrebro,8,Hustande med 2 eller flere familier,,8,500.000-599.999 kr.,851
2014,3,3. Nørrebro,8,Hustande med 2 eller flere familier,,9,600.000-699.999 kr.,621
2014,3,3. Nørrebro,8,Hustande med 2 eller flere familier,,10,700.000 kr. og derover,1422
2014,4,4. Vesterbro/Kongens Enghave,1,Enlige,Enlige uden børn,1,-49.999 kr.,403
2014,4,4. Vesterbro/Kongens Enghave,1,Enlige,Enlige uden børn,2,50.000-99.999 kr.,629
2014,4,4. Vesterbro/Kongens Enghave,1,Enlige,Enlige uden børn,3,100.000-149.999 kr.,2028
2014,4,4. Vesterbro/Kongens Enghave,1,Enlige,Enlige uden børn,4,150.000-199.999 kr.,2867
2014,4,4. Vesterbro/Kongens Enghave,1,Enlige,Enlige uden børn,5,200.000-299.999 kr.,2475
2014,4,4. Vesterbro/Kongens Enghave,1,Enlige,Enlige uden børn,6,300.000-399.999 kr.,2272
2014,4,4. Vesterbro/Kongens Enghave,1,Enlige,Enlige uden børn,7,400.000-499.999 kr.,1543
2014,4,4. Vesterbro/Kongens Enghave,1,Enlige,Enlige uden børn,8,500.000-599.999 kr.,713
2014,4,4. Vesterbro/Kongens Enghave,1,Enlige,Enlige uden børn,9,600.000-699.999 kr.,342
2014,4,4. Vesterbro/Kongens Enghave,1,Enlige,Enlige uden børn,10,700.000 kr. og derover,445
2014,4,4. Vesterbro/Kongens Enghave,2,Enlige,Enlige med børn,1,-49.999 kr.,25
